Wall time,Step,Value
1566248088.1081657,10,0.6224443316459656
1566248172.871312,20,0.594255268573761
1566248261.310088,30,0.5884222388267517
1566248345.1324635,40,0.5820110440254211
1566248431.2655778,50,0.5639115571975708
1566248512.9212658,60,0.5777930021286011
1566248590.9862902,70,0.5492642521858215
1566248676.3705554,80,0.5448470711708069
1566248761.00083,90,0.5313087701797485
1566248844.732069,100,0.5682637095451355
1566248924.7022593,110,0.5521126985549927
1566249006.3630614,120,0.5003395080566406
1566249090.097828,130,0.5154969096183777
1566249170.884752,140,0.4705638885498047
1566249251.3392131,150,0.4159979820251465
1566249334.9761837,160,0.4192879796028137
1566249418.4315684,170,0.4610021114349365
1566249501.9739687,180,0.48765453696250916
1566249583.9544322,190,0.4412974417209625
1566249668.0284176,200,0.4290677011013031
1566249748.9130054,210,0.39343708753585815
1566249830.3449001,220,0.4228132665157318
1566249910.9520547,230,0.4260300099849701
1566249993.9014847,240,0.4282115399837494
1566250079.3776996,250,0.467462956905365
1566250162.6230605,260,0.3452397584915161
1566250244.1684606,270,0.37142032384872437
1566250326.631114,280,0.4314626157283783
1566250408.2900946,290,0.3762558102607727
1566250492.337305,300,0.35113993287086487
1566250571.3860903,310,0.308190256357193
1566250653.918105,320,0.31913894414901733
1566250737.8058696,330,0.352172315120697
1566250819.1273835,340,0.30390623211860657
1566250903.1052094,350,0.3526410460472107
1566250983.3320968,360,0.3149966597557068
1566251065.3515813,370,0.41855669021606445
1566251148.6635602,380,0.3568855822086334
1566251230.1720693,390,0.3837788701057434
1566251312.8098478,400,0.33507299423217773
1566251396.0583632,410,0.526892364025116
1566251478.2947223,420,0.30194589495658875
1566251561.8367867,430,0.2980676591396332
1566251643.900363,440,0.3305603563785553
1566251727.8021595,450,0.3269881010055542
1566251808.18729,460,0.399472713470459
1566251890.9748175,470,0.33791226148605347
1566251972.3056192,480,0.4072384834289551
1566252055.215838,490,0.32220858335494995
1566252140.7837205,500,0.35863256454467773
