Wall time,Step,Value
1561105907.9613378,10,0.47529011964797974
1561105997.4466455,20,0.5612555742263794
1561106088.683212,30,0.42571526765823364
1561106181.3834295,40,0.43045133352279663
1561106275.2767887,50,0.3504742681980133
1561106370.7886126,60,0.3027365803718567
1561106463.3965504,70,0.3213820457458496
1561106556.9089904,80,0.3089695870876312
1561106650.682864,90,0.3612681031227112
1561106744.9537635,100,0.28593069314956665
1561106840.2492106,110,0.3313594460487366
1561106933.3203664,120,0.32044166326522827
1561107027.3612487,130,0.25748151540756226
1561107121.4703727,140,0.2890850007534027
1561107209.1796699,150,0.28710755705833435
1561107298.2032576,160,0.25575342774391174
1561107385.9832373,170,0.2630487084388733
1561107477.1463468,180,0.21746909618377686
1561107564.1227934,190,0.22861671447753906
1561107653.4429796,200,0.25290441513061523
1561107743.120577,210,0.26747632026672363
1561107833.1240647,220,0.3043918013572693
1561107924.494553,230,0.21279940009117126
1561108013.259384,240,0.2551289200782776
1561108101.7056017,250,0.27616003155708313
1561108194.1401813,260,0.22242161631584167
1561108282.7744045,270,0.22188106179237366
1561108372.9866824,280,0.2216077297925949
1561108463.6027353,290,0.23706206679344177
1561108551.1696813,300,0.2540910243988037
1561108642.4341068,310,0.26439031958580017
1561108729.7375002,320,0.2556536793708801
1561108819.6289241,330,0.2267187088727951
1561108907.8040986,340,0.2706630527973175
1561108995.5927022,350,0.20685791969299316
1561109087.0552263,360,0.20078575611114502
1561109175.0648582,370,0.19761179387569427
1561109266.4941194,380,0.2713600695133209
1561109354.1705327,390,0.2000938206911087
1561109441.8018281,400,0.23735103011131287
1561109532.9411955,410,0.2259947508573532
1561109621.2219887,420,0.22277779877185822
1561109711.5035918,430,0.2643371522426605
1561109800.4223928,440,0.26799172163009644
1561109889.701822,450,0.3104504942893982
1561109979.6628559,460,0.22982008755207062
1561110067.18381,470,0.23328235745429993
1561110155.5956502,480,0.19977989792823792
1561110244.3660245,490,0.27786773443222046
1561110332.5131752,500,0.23130078613758087
