Wall time,Step,Value
1562809237.867133,10,0.3889971673488617
1562809333.9614062,20,0.3834773600101471
1562809444.809296,30,0.3789409399032593
1562809559.696334,40,0.3856872618198395
1562809673.5407543,50,0.3590751588344574
1562809785.5619185,60,0.36647269129753113
1562809898.9815838,70,0.33976390957832336
1562810014.1316605,80,0.37069571018218994
1562810127.0287848,90,0.34799110889434814
1562810241.5451672,100,0.35551926493644714
1562810355.677238,110,0.377949982881546
1562810468.9691212,120,0.3504326343536377
1562810586.2711642,130,0.3603299856185913
1562810697.9109113,140,0.34180864691734314
1562810809.2764466,150,0.3707793653011322
1562810919.8200803,160,0.3729759752750397
1562811035.6193175,170,0.3415926992893219
1562811150.1666257,180,0.34426140785217285
1562811259.8995862,190,0.353238970041275
1562811377.9546123,200,0.35514676570892334
1562811491.5487611,210,0.37657248973846436
1562811603.2548895,220,0.34660443663597107
1562811716.643959,230,0.3420027792453766
1562811830.1322505,240,0.33786740899086
1562811945.3583448,250,0.3629702031612396
1562812058.1828306,260,0.34994450211524963
1562812176.5647693,270,0.34156927466392517
1562812286.4942393,280,0.3274236023426056
1562812397.1372895,290,0.342592716217041
1562812514.820773,300,0.3419618606567383
1562812629.7098765,310,0.3508494794368744
1562812743.7242684,320,0.34145137667655945
1562812859.7917404,330,0.350567102432251
1562812971.789695,340,0.33987703919410706
1562813083.8018858,350,0.3428647816181183
1562813200.4359574,360,0.3419475257396698
1562813312.8561664,370,0.35726919770240784
1562813424.270239,380,0.33888331055641174
1562813538.4413154,390,0.34508609771728516
1562813646.6681273,400,0.3502514064311981
1562813768.5725708,410,0.3499028980731964
1562813881.4668152,420,0.341273695230484
1562813996.3900912,430,0.34524574875831604
1562814109.5209267,440,0.3623906672000885
1562814222.535278,450,0.3568711280822754
1562814336.9647932,460,0.3470676839351654
1562814451.3382976,470,0.3386344909667969
1562814567.3395827,480,0.3272264897823334
1562814680.3967235,490,0.33786702156066895
1562814792.3331516,500,0.3399476110935211
