Wall time,Step,Value
1562815507.090284,10,0.3355806767940521
1562815604.3053076,20,0.2986767590045929
1562815717.1580822,30,0.3368142545223236
1562815829.1226285,40,0.30530425906181335
1562815943.9156444,50,0.27980029582977295
1562816058.4502492,60,0.2865384519100189
1562816172.2650723,70,0.23933005332946777
1562816286.5587146,80,0.271638959646225
1562816400.418548,90,0.2845951020717621
1562816514.7421236,100,0.25356242060661316
1562816624.1081023,110,0.23691241443157196
1562816739.7028856,120,0.2536678910255432
1562816859.86378,130,0.24178571999073029
1562816971.9233615,140,0.24834191799163818
1562817085.7803974,150,0.25599080324172974
1562817198.3780136,160,0.2320321798324585
1562817310.9732308,170,0.2758288085460663
1562817423.5653226,180,0.2738812267780304
1562817535.1427882,190,0.23219196498394012
1562817655.8521101,200,0.25932732224464417
1562817768.8636534,210,0.24165497720241547
1562817879.3118284,220,0.23185725510120392
1562817994.3572357,230,0.2473626732826233
1562818110.3820436,240,0.21605253219604492
1562818222.2623854,250,0.2686387598514557
1562818335.4313004,260,0.23416323959827423
1562818453.7562995,270,0.26544389128685
1562818568.6588666,280,0.21435856819152832
1562818682.9436104,290,0.2467363476753235
1562818800.011778,300,0.24000640213489532
1562818913.4848363,310,0.22512364387512207
1562819025.2476687,320,0.2242104560136795
1562819139.5108335,330,0.2132415771484375
1562819257.3923466,340,0.21139578521251678
1562819366.421864,350,0.218471959233284
1562819484.3300314,360,0.22245092689990997
1562819598.1027904,370,0.22449296712875366
1562819714.9084122,380,0.22471730411052704
1562819827.32476,390,0.2713155746459961
1562819937.5787475,400,0.21294043958187103
1562820061.954303,410,0.23735809326171875
1562820174.4430287,420,0.26111361384391785
1562820288.0409353,430,0.2191935032606125
1562820403.0075645,440,0.23240520060062408
1562820513.7370493,450,0.23370938003063202
1562820631.4505212,460,0.19982808828353882
1562820745.4367921,470,0.2402929812669754
1562820858.8691156,480,0.21797263622283936
1562820973.6938398,490,0.22696363925933838
1562821089.470449,500,0.23739589750766754
