Wall time,Step,Value
1566205307.709347,10,0.5785398483276367
1566205399.9264865,20,0.4300600588321686
1566205492.7288737,30,0.4685441851615906
1566205584.2505882,40,0.40049678087234497
1566205673.421337,50,0.3915129601955414
1566205763.7343168,60,0.34282946586608887
1566205846.140158,70,0.2775300443172455
1566205939.5248635,80,0.4285616874694824
1566206025.6654112,90,0.2559089958667755
1566206112.0462759,100,0.3043654263019562
1566206200.6037507,110,0.3041732907295227
1566206286.4640326,120,0.28577497601509094
1566206373.4359353,130,0.2210327684879303
1566206460.1634758,140,0.3614672124385834
1566206543.2384157,150,0.35613757371902466
1566206637.0867329,160,0.2765989303588867
1566206724.5476365,170,0.20743051171302795
1566206813.7669652,180,0.252896249294281
1566206901.244847,190,0.24957236647605896
1566206988.4534252,200,0.30905047059059143
1566207075.9317842,210,0.2391079217195511
1566207162.8572805,220,0.21435575187206268
1566207247.6030767,230,0.2199641764163971
1566207336.9653609,240,0.22343602776527405
1566207424.7086945,250,0.26459574699401855
1566207512.2295995,260,0.20338642597198486
1566207599.1878226,270,0.21383389830589294
1566207687.1376374,280,0.19713851809501648
1566207773.3111665,290,0.219869464635849
1566207860.1624827,300,0.24258041381835938
1566207946.785876,310,0.23034223914146423
1566208037.1086562,320,0.2871688902378082
1566208126.47664,330,0.23971982300281525
1566208213.0958936,340,0.22422976791858673
1566208299.0686455,350,0.21534106135368347
1566208385.6213071,360,0.23003160953521729
1566208473.2088,370,0.2961377501487732
1566208559.6380572,380,0.2249547690153122
1566208646.3495295,390,0.2392621487379074
1566208732.8333364,400,0.29659056663513184
1566208820.1577165,410,0.18424952030181885
1566208906.2481518,420,0.22986340522766113
1566208993.2611163,430,0.25187891721725464
1566209079.8992512,440,0.23558881878852844
1566209165.839867,450,0.2049987018108368
1566209252.82239,460,0.20986497402191162
1566209339.9603262,470,0.2744368612766266
1566209425.355422,480,0.21096864342689514
1566209513.6187937,490,0.25763601064682007
1566209600.3024824,500,0.2588895857334137
