Wall time,Step,Value
1561624091.855183,10,0.7356646656990051
1561624197.2827725,20,0.6514047980308533
1561624303.134189,30,0.6028202176094055
1561624405.5147736,40,0.590482234954834
1561624513.8072653,50,0.5568053722381592
1561624618.0745773,60,0.5679914355278015
1561624725.1113026,70,0.5209276080131531
1561624833.6147103,80,0.5144624710083008
1561624938.4065084,90,0.5097872018814087
1561625045.7706425,100,0.5140920877456665
1561625150.9784493,110,0.49208077788352966
1561625256.765368,120,0.5156527161598206
1561625363.035178,130,0.43727144598960876
1561625467.3751166,140,0.44659462571144104
1561625574.2016482,150,0.45822975039482117
1561625679.414477,160,0.3874496519565582
1561625785.4505079,170,0.5214087963104248
1561625892.9245572,180,0.38266196846961975
1561625999.6037793,190,0.41549253463745117
1561626104.915558,200,0.3965906798839569
1561626209.5673735,210,0.4596952497959137
1561626316.149044,220,0.39334365725517273
1561626423.4235575,230,0.40724191069602966
1561626527.8352933,240,0.44557440280914307
1561626635.384765,250,0.3646852970123291
1561626741.9880495,260,0.3936474323272705
1561626847.308063,270,0.40528908371925354
1561626953.8666992,280,0.44710734486579895
1561627058.729228,290,0.40206897258758545
1561627167.6549635,300,0.3816113770008087
1561627273.6526573,310,0.4318743944168091
1561627381.4347632,320,0.39017927646636963
1561627487.305782,330,0.4098310172557831
1561627592.2476034,340,0.36436524987220764
1561627699.9311862,350,0.3160744905471802
1561627804.859002,360,0.3802078664302826
1561627911.129435,370,0.37049415707588196
1561628017.932409,380,0.34878456592559814
1561628123.4561887,390,0.3496946394443512
1561628229.9685369,400,0.32052329182624817
1561628337.0465195,410,0.3865068852901459
1561628443.8705635,420,0.36743786931037903
1561628551.2632306,430,0.33985933661460876
1561628655.1093287,440,0.29306575655937195
1561628762.0447896,450,0.3839530050754547
1561628866.453676,460,0.323047935962677
1561628969.3582249,470,0.32669684290885925
1561629077.6879487,480,0.33061420917510986
1561629183.8123262,490,0.32984989881515503
1561629291.8425257,500,0.31208309531211853
