Wall time,Step,Value
1559897039.9125166,10,0.16050197184085846
1559897142.8441184,20,0.1004999652504921
1559897258.2902968,30,0.11409584432840347
1559897375.3765523,40,0.10625198483467102
1559897490.8753955,50,0.08141503483057022
1559897605.028265,60,0.08406376838684082
1559897723.7223334,70,0.07972452044487
1559897843.1784825,80,0.07432761043310165
1559897958.1247575,90,0.08197423070669174
1559898072.6398406,100,0.07857555896043777
1559898187.940431,110,0.07259199768304825
1559898305.0297375,120,0.07767230272293091
1559898425.0143292,130,0.06765549629926682
1559898537.3884096,140,0.111290343105793
1559898653.6556048,150,0.08064822107553482
1559898767.81041,160,0.06766489148139954
1559898887.7730925,170,0.07328902930021286
1559899001.6606357,180,0.06628822535276413
1559899115.033454,190,0.08914113789796829
1559899242.0738192,200,0.07548920065164566
1559899355.411443,210,0.07120025157928467
1559899470.4024453,220,0.07058831304311752
1559899584.3661952,230,0.07391948252916336
1559899700.4477909,240,0.08531925082206726
1559899818.293474,250,0.06275751441717148
1559899931.817478,260,0.06838029623031616
1559900049.0504084,270,0.07396063953638077
1559900167.1795561,280,0.0664096549153328
1559900281.5405662,290,0.0646628737449646
1559900400.4636931,300,0.0562954843044281
1559900515.528451,310,0.06205139681696892
1559900628.5256069,320,0.06211060285568237
1559900744.8017433,330,0.06872396916151047
1559900862.1389475,340,0.06959313899278641
1559900978.2223284,350,0.06665674597024918
1559901097.5392923,360,0.0700496956706047
1559901208.010129,370,0.07008213549852371
1559901326.408087,380,0.08305990695953369
1559901439.338502,390,0.05871358513832092
1559901555.0752718,400,0.06484179943799973
1559901675.8951027,410,0.05874576047062874
1559901792.1112382,420,0.06857896596193314
1559901908.4880037,430,0.06340450048446655
1559902020.5544775,440,0.06778699904680252
1559902139.4025106,450,0.06366858631372452
1559902249.8576546,460,0.06409373879432678
1559902371.4044,470,0.06324473768472672
1559902482.8764756,480,0.09345072507858276
1559902599.6344788,490,0.06411915272474289
1559902718.852686,500,0.06570643931627274
