Wall time,Step,Value
1562701545.1915922,10,0.4499549865722656
1562701640.6351876,20,0.41699787974357605
1562701753.7396696,30,0.34926387667655945
1562701865.1800077,40,0.32709622383117676
1562701979.0960708,50,0.2504642903804779
1562702092.8699708,60,0.20517612993717194
1562702211.040951,70,0.2735443413257599
1562702327.8695004,80,0.24860207736492157
1562702437.9889495,90,0.2116466760635376
1562702550.9219935,100,0.2365529090166092
1562702668.7966175,110,0.21222157776355743
1562702782.0171912,120,0.1959051489830017
1562702899.7414193,130,0.20712561905384064
1562703014.3407547,140,0.21082980930805206
1562703125.9087522,150,0.21048402786254883
1562703238.8990424,160,0.18760401010513306
1562703350.657245,170,0.18759584426879883
1562703466.8218877,180,0.19897885620594025
1562703583.1917706,190,0.2075316458940506
1562703697.0660524,200,0.16956472396850586
1562703809.4578474,210,0.2040998786687851
1562703924.934418,220,0.17923952639102936
1562704039.7557979,230,0.17051644623279572
1562704150.466118,240,0.18883287906646729
1562704265.684512,250,0.20349209010601044
1562704377.4568834,260,0.16224893927574158
1562704492.4303975,270,0.17342089116573334
1562704610.2608323,280,0.2257261723279953
1562704723.1528015,290,0.18992799520492554
1562704836.8694625,300,0.1768961399793625
1562704950.6420476,310,0.22265954315662384
1562705064.9870265,320,0.14330331981182098
1562705179.4928994,330,0.20607352256774902
1562705299.8867455,340,0.19028668105602264
1562705410.0773954,350,0.1659809648990631
1562705524.7721007,360,0.17242224514484406
1562705640.0009701,370,0.1775667667388916
1562705752.0970511,380,0.16987450420856476
1562705863.3970287,390,0.13219982385635376
1562705977.486284,400,0.2136683464050293
1562706097.1982374,410,0.17678208649158478
1562706209.9768598,420,0.19395864009857178
1562706323.6405323,430,0.15962035953998566
1562706435.5187016,440,0.21774566173553467
1562706548.7554355,450,0.1780541092157364
1562706664.4220436,460,0.1594197303056717
1562706780.1287758,470,0.1868506669998169
1562706896.2765548,480,0.1811596155166626
1562707009.9278622,490,0.22769825160503387
1562707121.6871426,500,0.18922220170497894
