Wall time,Step,Value
1566850596.0774608,10,0.7626791000366211
1566850681.1949265,20,0.7169345021247864
1566850768.644764,30,0.702836811542511
1566850851.5483353,40,0.7213901281356812
1566850938.1061432,50,0.725084125995636
1566851022.5208023,60,0.7040698528289795
1566851104.4229956,70,0.6844545602798462
1566851189.8775842,80,0.6786589622497559
1566851274.229776,90,0.7224611043930054
1566851358.445124,100,0.7233263254165649
1566851439.4379811,110,0.6854540109634399
1566851521.8033595,120,0.7128206491470337
1566851604.9353285,130,0.6984858512878418
1566851686.4816086,140,0.7129242420196533
1566851767.335139,150,0.7221707105636597
1566851851.2356417,160,0.6733793020248413
1566851935.0103753,170,0.6965668797492981
1566852018.8122437,180,0.6792566180229187
1566852101.3299356,190,0.6964737772941589
1566852185.9776876,200,0.7347597479820251
1566852266.921128,210,0.6892639398574829
1566852348.941109,220,0.6988903284072876
1566852430.1859062,230,0.7103747129440308
1566852514.6406446,240,0.6977784037590027
1566852598.7971609,250,0.705661416053772
1566852681.6300423,260,0.7285028100013733
1566852764.0966756,270,0.6828497052192688
1566852847.0612495,280,0.6972711682319641
1566852927.9501944,290,0.708491325378418
1566853012.5879207,300,0.7225384712219238
1566853092.2602205,310,0.707062840461731
1566853175.4739187,320,0.6681181192398071
1566853260.8832495,330,0.6837198734283447
1566853342.5342748,340,0.6877478361129761
1566853427.1833158,350,0.6884371042251587
1566853509.0975535,360,0.6876763701438904
1566853590.010282,370,0.6956556439399719
1566853674.2800336,380,0.69697105884552
1566853756.1045835,390,0.6912844777107239
1566853839.4080899,400,0.6820632219314575
1566853921.7405534,410,0.6990049481391907
1566854004.2667408,420,0.6848344206809998
1566854088.4411385,430,0.7013095617294312
1566854170.9079273,440,0.7063616514205933
1566854254.5894485,450,0.6995687484741211
1566854335.745527,460,0.7244617938995361
1566854418.0398898,470,0.7053714990615845
1566854499.5425992,480,0.6805816888809204
1566854584.1880503,490,0.6795950531959534
1566854670.6362882,500,0.6776055097579956
