Wall time,Step,Value
1559724456.0981786,10,0.4541381895542145
1559724564.0932693,20,0.4409841001033783
1559724675.4457986,30,0.4479188024997711
1559724793.4067042,40,0.4111405611038208
1559724917.911638,50,0.42853131890296936
1559725030.2639847,60,0.409222811460495
1559725147.088797,70,0.3583986759185791
1559725259.9702165,80,0.3762161433696747
1559725373.4141731,90,0.33515700697898865
1559725487.0757446,100,0.2920982539653778
1559725602.250882,110,0.2876453101634979
1559725712.220387,120,0.25924038887023926
1559725832.3645544,130,0.22659258544445038
1559725947.537797,140,0.2251160591840744
1559726063.0577793,150,0.20731516182422638
1559726175.1151092,160,0.22306442260742188
1559726290.375926,170,0.2153240591287613
1559726402.6888368,180,0.1796131134033203
1559726514.2593317,190,0.17483751475811005
1559726635.9335854,200,0.18374085426330566
1559726749.049224,210,0.21201181411743164
1559726860.161458,220,0.20097553730010986
1559726975.7164648,230,0.16845357418060303
1559727084.6899738,240,0.14903374016284943
1559727206.2408485,250,0.15591949224472046
1559727316.2088227,260,0.16251809895038605
1559727430.4015644,270,0.1804940104484558
1559727547.076552,280,0.1537933498620987
1559727656.3769233,290,0.16841809451580048
1559727772.5040898,300,0.15566487610340118
1559727884.5917113,310,0.1417783498764038
1559727997.7622986,320,0.18655288219451904
1559728111.0593395,330,0.17968951165676117
1559728227.6126049,340,0.13460959494113922
1559728340.9179873,350,0.15281355381011963
1559728451.5586581,360,0.13894054293632507
1559728569.1103745,370,0.1483730524778366
1559728681.3363202,380,0.15645478665828705
1559728792.5122392,390,0.13028432428836823
1559728903.7985544,400,0.18101663887500763
1559729024.4866304,410,0.14826437830924988
1559729134.930752,420,0.12976519763469696
1559729251.4289799,430,0.14005158841609955
1559729363.5407755,440,0.15336206555366516
1559729480.409449,450,0.13741149008274078
1559729593.0180025,460,0.15868455171585083
1559729708.015834,470,0.1319311261177063
1559729823.2844992,480,0.15131326019763947
1559729938.1613927,490,0.15274375677108765
1559730054.6496904,500,0.1489199548959732
