Wall time,Step,Value
1562586586.9537387,10,0.27225515246391296
1562586680.6274872,20,0.248548224568367
1562586794.1716113,30,0.20143269002437592
1562586908.3898342,40,0.18806855380535126
1562587023.7759602,50,0.19063659012317657
1562587133.5907536,60,0.23411135375499725
1562587250.4359448,70,0.24007582664489746
1562587362.0675662,80,0.14309586584568024
1562587476.3280387,90,0.18266761302947998
1562587614.3861818,100,0.16434361040592194
1562587728.6827734,110,0.14888636767864227
1562587841.8265798,120,0.20777632296085358
1562587959.6582816,130,0.17959626019001007
1562588073.1157548,140,0.18589991331100464
1562588184.3728352,150,0.18176130950450897
1562588293.0725038,160,0.16829366981983185
1562588408.0836406,170,0.14127042889595032
1562588522.462196,180,0.15877969563007355
1562588635.4686096,190,0.17291830480098724
1562588775.3184943,200,0.1468127965927124
1562588887.2947538,210,0.15191976726055145
1562589004.5410473,220,0.18652494251728058
1562589116.5292912,230,0.1631360501050949
1562589229.268496,240,0.19075803458690643
1562589344.4639099,250,0.16114728152751923
1562589454.8769941,260,0.14719203114509583
1562589574.5975032,270,0.16922418773174286
1562589688.8739336,280,0.12846219539642334
1562589800.9512534,290,0.16344329714775085
1562589938.0544965,300,0.1713552474975586
1562590049.9620576,310,0.14491580426692963
1562590162.5367618,320,0.16621534526348114
1562590277.0930943,330,0.1220882460474968
1562590392.976765,340,0.17049141228199005
1562590507.6453881,350,0.16008467972278595
1562590617.2426233,360,0.1521168202161789
1562590727.8381054,370,0.15378935635089874
1562590842.7656732,380,0.12317369133234024
1562590958.5967958,390,0.21231091022491455
1562591094.8116887,400,0.1441819816827774
1562591212.6728632,410,0.14349646866321564
1562591325.300217,420,0.13592642545700073
1562591438.1875966,430,0.13217590749263763
1562591551.5385027,440,0.1859765201807022
1562591665.894815,450,0.13119737803936005
1562591786.7841878,460,0.15006250143051147
1562591896.4952347,470,0.13164721429347992
1562592007.4318092,480,0.12389672547578812
1562592122.0311818,490,0.11769817024469376
1562592257.9335012,500,0.1176854744553566
