Wall time,Step,Value
1566252834.5036023,10,0.5956315994262695
1566252919.5323555,20,0.6095800399780273
1566253007.4043562,30,0.5013546943664551
1566253091.5691185,40,0.4832276701927185
1566253174.9778004,50,0.5749781727790833
1566253259.37602,60,0.5626199841499329
1566253337.26562,70,0.4440298080444336
1566253422.3354785,80,0.4257039427757263
1566253507.6290905,90,0.3869739770889282
1566253589.2221048,100,0.4415822923183441
1566253672.138841,110,0.3863726854324341
1566253754.3111837,120,0.4460930824279785
1566253837.45089,130,0.37314921617507935
1566253918.9535005,140,0.2863284945487976
1566253996.9330401,150,0.2975504398345947
1566254081.583583,160,0.3785586357116699
1566254166.0864494,170,0.44411054253578186
1566254249.526096,180,0.3790115714073181
1566254331.3020575,190,0.31216752529144287
1566254412.7716699,200,0.3274894952774048
1566254495.4716609,210,0.3124944865703583
1566254577.3119133,220,0.28019747138023376
1566254658.3232863,230,0.25026994943618774
1566254740.0975013,240,0.36061152815818787
1566254825.080592,250,0.2668240964412689
1566254909.6187472,260,0.27948909997940063
1566254992.160127,270,0.2761498987674713
1566255075.0813706,280,0.2760452628135681
1566255157.5793998,290,0.27333033084869385
1566255239.7335508,300,0.2559342384338379
1566255320.288727,310,0.29249173402786255
1566255402.9684234,320,0.2793273329734802
1566255488.252473,330,0.2902604043483734
1566255570.188213,340,0.33744654059410095
1566255651.4036555,350,0.2784814238548279
1566255734.9456952,360,0.2565488815307617
1566255816.7749515,370,0.33816975355148315
1566255900.0146194,380,0.2520594298839569
1566255981.5954099,390,0.3407216966152191
1566256061.8160057,400,0.28886085748672485
1566256145.6073232,410,0.27493157982826233
1566256227.731801,420,0.32351967692375183
1566256310.450666,430,0.2578163743019104
1566256392.0354936,440,0.25984475016593933
1566256473.8589432,450,0.287108451128006
1566256556.7486155,460,0.30630141496658325
1566256638.4656248,470,0.2616268992424011
1566256720.1886826,480,0.24602055549621582
1566256803.6476989,490,0.25012436509132385
1566256886.1669617,500,0.231584832072258
