Wall time,Step,Value
1561120986.3624055,10,0.6089723706245422
1561121068.186701,20,0.615388035774231
1561121152.8741558,30,0.6166318655014038
1561121234.4344559,40,0.5905269384384155
1561121315.9626245,50,0.6059712171554565
1561121400.6935325,60,0.5863465070724487
1561121481.9015186,70,0.5851615071296692
1561121568.6779516,80,0.6000788807868958
1561121651.6534262,90,0.6272472143173218
1561121737.578117,100,0.6027716398239136
1561121823.7442374,110,0.5858913660049438
1561121909.529054,120,0.5771763324737549
1561121994.9562156,130,0.5635802149772644
1561122078.455244,140,0.5646401643753052
1561122164.1976967,150,0.5784767270088196
1561122253.2688177,160,0.576397180557251
1561122339.1729574,170,0.5910786390304565
1561122424.3322246,180,0.6108261942863464
1561122509.1416132,190,0.6092833280563354
1561122593.4218717,200,0.5756155848503113
1561122678.193381,210,0.6165117621421814
1561122766.1624112,220,0.602336049079895
1561122849.3612676,230,0.6032676696777344
1561122937.754454,240,0.6022216081619263
1561123023.4904466,250,0.5886319279670715
1561123110.9357607,260,0.621374249458313
1561123195.2138782,270,0.5468291640281677
1561123286.4519944,280,0.6023001074790955
1561123370.9875085,290,0.631505012512207
1561123455.6660058,300,0.5743135213851929
1561123547.2289526,310,0.5945128202438354
1561123639.2177355,320,0.612679660320282
1561123726.3745625,330,0.6354121565818787
1561123813.8667748,340,0.6371996998786926
1561123902.4142838,350,0.554763674736023
1561123989.5412714,360,0.5961162447929382
1561124079.7769258,370,0.6243654489517212
1561124165.6675138,380,0.5927881002426147
1561124251.759001,390,0.5739229917526245
1561124337.4007409,400,0.5970757603645325
1561124425.8230622,410,0.5783249735832214
1561124513.0740032,420,0.5720881223678589
1561124598.461851,430,0.6005861163139343
1561124683.1417205,440,0.5793147683143616
1561124767.3756418,450,0.5722070932388306
1561124853.796522,460,0.5694631338119507
1561124939.7821004,470,0.6307183504104614
1561125024.2273188,480,0.5879584550857544
1561125112.968923,490,0.585304856300354
1561125198.6203754,500,0.5927631855010986
